img,output,flag,username,timestamp
C:\Projects\Python\line-art-colorization\flagged\img\tmpvbdw_qva.jpg,C:\Projects\Python\line-art-colorization\flagged\output\tmpub5wgqxj.png,,,2023-02-06 16:04:58.824849
C:\Projects\Python\line-art-colorization\flagged\img\tmpos_7ksh0.jpg,0.3,7,0.95,-1,15,5,C:\Projects\Python\line-art-colorization\flagged\output\tmpxqdrsqtv.png,,,2023-02-06 17:09:53.234231
C:\Projects\Python\line-art-colorization\flagged\img\tmph1dd5nh4.jpg,0.3,7,0.95,-1,15,5,C:\Projects\Python\line-art-colorization\flagged\output\tmp_l3wmcis.png,,,2023-02-06 17:10:51.530866
C:\Projects\Python\line-art-colorization\flagged\img\tmpqo099w5f.jpg,0.3,7,8,-1,15,5,C:\Projects\Python\line-art-colorization\flagged\output\tmphvvfbzkh.png,,,2023-02-06 17:57:19.505827
C:\Projects\Python\line-art-colorization\flagged\img\tmprd4gj6oz.jpg,0.3,7,8,-1,15,5,C:\Projects\Python\line-art-colorization\flagged\output\tmp1jdgz9cq.png,,,2023-02-06 17:57:19.711809
C:\Projects\Python\line-art-colorization\flagged\img\tmp4dajz4m_.jpg,0.3,7,8,-1,15,5,C:\Projects\Python\line-art-colorization\flagged\output\tmpuc_81nzm.png,,,2023-02-06 17:57:19.912032
C:\Projects\Python\line-art-colorization\flagged\img\tmp9okikwyw.jpg,0.3,7,8,-1,15,5,C:\Projects\Python\line-art-colorization\flagged\output\tmph5r8215h.png,,,2023-02-06 17:57:20.167869
C:\Projects\Python\line-art-colorization\flagged\img\tmpxttq9n9c.jpg,0.3,7,8,-1,15,5,C:\Projects\Python\line-art-colorization\flagged\output\tmp8_u4p7b9.png,,,2023-02-06 18:02:01.295691
C:\Projects\Python\line-art-colorization\flagged\img\tmpamrp4c3f.jpg,0.3,7,0.95,-1,15,5,C:\Projects\Python\line-art-colorization\flagged\output\tmphhwnsjgd.png,,,2023-02-06 18:35:12.448001
C:\Projects\Python\line-art-colorization\flagged\img\tmpmw8xyad2.jpg,0.3,7,0.95,-1,15,5,C:\Projects\Python\line-art-colorization\flagged\output\tmp7istmdat.png,,,2023-02-06 18:35:12.678842
C:\Projects\Python\line-art-colorization\flagged\img\tmpruefn_vp.jpg,0.1,8,0.95,-1,15,2,C:\Projects\Python\line-art-colorization\flagged\output\tmpi2odxpr_.png,,,2023-02-06 20:15:17.246278
C:\Projects\Python\line-art-colorization\flagged\img\tmpwa7ii10u.jpg,0.1,8,0.95,-1,15,2,C:\Projects\Python\line-art-colorization\flagged\output\tmp14k99o9d.png,,,2023-02-06 20:15:17.416561
C:\Projects\Python\line-art-colorization\flagged\img\tmpxr182v1b.jpg,0.1,8,0.95,-1,15,2,C:\Projects\Python\line-art-colorization\flagged\output\tmpo3m1vz_9.png,,,2023-02-06 20:15:17.616026
C:\Projects\Python\line-art-colorization\flagged\img\tmplhedkwtn.jpg,0.1,8,0.95,-1,15,2,C:\Projects\Python\line-art-colorization\flagged\output\tmp9uxwo2a4.png,,,2023-02-06 20:15:17.826660
C:\Projects\Python\line-art-colorization\flagged\img\tmpl7j8f3pr.png,0.4,6.5,0.95,-1,15,2,C:\Projects\Python\line-art-colorization\flagged\output\tmpsk0hyrjb.png,,,2023-02-06 20:37:28.321482
,0.3,4.5,0.95,-1,15,2,C:\Projects\Python\line-art-colorization\flagged\output\tmpggtd1eg3.png,,,2023-02-06 20:40:20.399755
